"","sats","bands","X","abscalfactor","effectivebandwidth","id_part","solar_zenith","view_angle","date","gain","offset","exo_thuilier","exo_chkur","exo_wrc","alt_m"
"69","WV02","RE",87,0.006063145,0.0393,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",0.974,-4.12,1346.09,1302.19,1342.05,770000
"70","WV02","N2",62,0.009042234,0.0996,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",1.002,-2.891,586.599,856.816,861.201,770000
"71","WV02","N2",26,0.009042234,0.0996,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",1.002,-2.891,586.599,856.816,861.201,770000
"72","WV02","RE",15,0.004539619,0.0393,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.974,-4.12,1346.09,1302.19,1342.05,770000
"73","WV02","RE",78,0.005188136,0.0393,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",0.974,-4.12,1346.09,1302.19,1342.05,770000
"74","WV02","RE",51,0.005188136,0.0393,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",0.974,-4.12,1346.09,1302.19,1342.05,770000
"75","WV02","G",12,0.009713071,0.063,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.936,-3.546,1829.62,1857.89,1856.03,770000
"76","WV02","P",99,0.05678345,0.2846,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:59",0.942,-2.704,1571.36,1575.38,1580.76,770000
"77","WV02","P",54,0.05678345,0.2846,"010623053040_01_P001",32.1,32.6,"2013-08-17 16:39:51",0.942,-2.704,1571.36,1575.38,1580.76,770000
"78","WV02","P",81,0.05678345,0.2846,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:28",0.942,-2.704,1571.36,1575.38,1580.76,770000
"79","WV02","P",18,0.05678345,0.2846,"010623053020_01_P001",39.3,28.8,"2016-09-05 16:20:24",0.942,-2.704,1571.36,1575.38,1580.76,770000
"80","WV02","P",45,0.05678345,0.2846,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:24",0.942,-2.704,1571.36,1575.38,1580.76,770000
"81","WV02","Y",94,0.006810718,0.0374,"010623053070_01_P001",25.3,13.4,"2011-06-03 16:04:05",0.949,-3.564,1701.85,1738.11,1738.59,770000
"82","WV02","Y",76,0.005829815,0.0374,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",0.949,-3.564,1701.85,1738.11,1738.59,770000
"83","WV02","Y",31,0.005101088,0.0374,"010623053030_01_P001",39.3,31.3,"2016-09-05 16:20:04",0.949,-3.564,1701.85,1738.11,1738.59,770000
"84","WV02","Y",40,0.005101088,0.0374,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",0.949,-3.564,1701.85,1738.11,1738.59,770000
"85","WV02","Y",13,0.005101088,0.0374,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.949,-3.564,1701.85,1738.11,1738.59,770000
"86","WV02","Y",58,0.005829815,0.0374,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",0.949,-3.564,1701.85,1738.11,1738.59,770000
